# 1494363909.0373366,3.9619,1.5691,9.0613
# 1494363909.059739,4.1972,1.726,9.1398
# 1494363909.0654204,3.9619,1.4514,8.6299
# 1494363909.0722415,3.8442,1.4122,8.4337
1494363909.0778446,3.9619,1.4514,8.4337
1494363909.0837228,3.9227,1.4514,8.4729
1494363909.0893798,3.805,1.3729,8.5122
 # 1494363909.095028,3.8442,1.5691,8.6299
# 1494363909.100594,3.8442,1.4906,8.5514
1494363909.1063962,3.8442,1.3729,8.5514
1494363909.1151855,3.805,1.4122,8.2768
1494363909.1246877,4.1972,1.4122,8.5906
1494363909.136534,3.8442,1.5298,8.5906
1494363909.1422732,3.9619,1.5298,9.1006
1494363909.1536603,3.7265,1.5298,8.6691
1494363909.1594145,3.9619,1.5298,9.179
1494363909.1683698,3.805,1.216,8.826
1494363909.174003,3.8442,1.216,8.826
1494363909.179586,3.7658,1.4906,8.5514
1494363909.1851742,3.8442,1.3729,8.5906
1494363909.1908283,3.6873,1.5298,8.6691
1494363909.1964805,3.7658,1.4122,8.5514
1494363909.2059906,3.7658,1.4514,8.6299
1494363909.2116148,3.8442,1.4906,8.6299
1494363909.217176,3.7658,1.5691,8.6691
1494363909.2227302,3.9227,1.4906,8.7475
1494363909.2340524,3.805,1.4906,8.7083
1494363909.2448566,3.9227,1.4906,8.5514
1494363909.2504656,4.0403,1.6083,9.0613
1494363909.256739,3.805,1.4514,8.5514
1494363909.262324,3.8834,1.5298,8.5514
1494363909.2681391,3.805,1.4906,8.6299
1494363909.2779503,3.6088,1.2553,8.5514
1494363909.2836704,3.6088,1.2553,8.5514
1494363909.2892287,3.6481,1.5691,8.7083
1494363909.295878,3.805,1.6083,8.7083
1494363909.301502,3.5696,1.5691,8.7083
1494363909.307089,3.7658,1.4122,8.7083
1494363909.3184924,3.8442,1.3729,8.5514
1494363909.3241556,3.9227,1.7652,8.9829
1494363909.3311007,3.8834,1.3729,8.7083
1494363909.3373227,3.805,1.4906,8.7083
1494363909.342916,3.8834,1.4122,8.7475
1494363909.3486211,3.8834,1.4514,8.6299
